country,density_per_km2,agricultural_land_percent,land_area_km2,armed_forces_size,birth_rate,calling_code,capital_major_city,co2_emissions,cpi,cpi_change_percent,fertility_rate,forested_area_percent,gross_primary_education_enrollment_percent,gross_tertiary_education_enrollment_percent,infant_mortality,largest_city,life_expectancy,maternal_mortality_ratio,official_language,out_of_pocket_health_expenditure,physicians_per_thousand,population,labor_force_participation_percent,tax_revenue_percent,total_tax_rate,unemployment_rate,urban_population,latitude,longitude
Senegal,87,46.1,196722,19000.0,34.52,221,Dakar,10902,109.25,1.8,4.63,42.8,81.0,12.8,31.8,Pikine,67.7,315.0,French,44.2,0.07,16296364,45.7,16.3,44.8,6.6,7765706,14.497401,-14.452362
Serbia,100,39.3,77474,32000.0,9.2,381,Belgrade,45221,144.0,1.8,1.49,31.1,100.3,67.2,4.8,Belgrade,75.5,12.0,Serbian,40.6,3.11,6944975,54.9,18.6,36.6,12.69,3907243,44.016521,21.005859
Seychelles,214,3.4,455,0.0,17.1,248,"Victoria, Seychelles",605,129.96,1.8,2.41,88.4,100.4,17.1,12.4,"Victoria, Seychelles",72.8,53.0,French,2.5,0.95,97625,62.6,34.1,30.1,5.36,55762,-4.679574,55.491977
Sierra Leone,111,54.7,71740,9000.0,33.41,232,Freetown,1093,234.16,14.8,4.26,43.1,112.8,2.0,78.5,Freetown,54.3,1120.0,English,38.2,0.03,7813215,57.9,8.6,30.7,4.43,3319366,8.460555,-11.779889
Singapore,8358,0.9,716,81000.0,8.8,65,Singapore,37535,114.41,0.6,1.14,23.1,100.6,84.8,2.3,Singapore,83.1,8.0,Malay,36.7,2.29,5703569,70.5,13.1,21.0,4.11,5703569,1.352083,103.819836
Slovakia,114,39.2,49035,16000.0,10.6,421,Bratislava,32424,115.34,2.7,1.52,40.4,98.7,46.6,4.6,Bratislava,77.2,5.0,Slovak,18.4,3.42,5454073,59.5,18.7,49.7,5.56,2930419,48.669026,19.699024
Slovenia,103,30.7,20273,7000.0,9.4,386,Ljubljana,12633,111.05,1.6,1.6,62.0,100.4,78.6,1.7,Ljubljana,81.0,7.0,Slovene language,12.5,3.09,2087946,58.4,18.6,31.0,4.2,1144654,46.151241,14.995463
Solomon Islands,25,3.9,28896,31000.0,32.44,677,Honiara,169,133.06,1.6,4.4,77.9,106.2,30.299999999999997,17.1,Honiara,72.8,104.0,English,3.3,0.19,669823,83.8,29.5,32.0,0.58,162164,-9.64571,160.156194
Somalia,25,70.3,637657,20000.0,41.75,252,Mogadishu,645,125.34,2.3,6.07,10.0,23.4,2.5,76.6,Bosaso,57.1,829.0,Arabic,31.8,0.02,15442905,47.4,0.0,37.35,11.35,7034861,5.152149,46.199616
South Africa,49,79.8,1219090,80000.0,20.51,27,Pretoria,476644,158.93,4.1,2.41,7.6,100.9,22.4,28.5,Johannesburg,63.9,119.0,Afrikaans,7.7,0.91,58558270,56.0,27.5,29.2,28.18,39149717,-30.559482,22.937506
South Korea,527,17.4,99720,634000.0,6.4,82,Seoul,620302,115.16,0.4,0.98,63.4,98.1,94.3,2.7,Seoul,82.6,11.0,Korean,36.8,2.36,51709098,63.0,15.6,33.2,4.15,42106719,35.907757,127.766922
South Sudan,18,39.5,644329,185000.0,35.01,211,Juba,1727,4583.71,187.9,4.7,31.8,73.0,30.299999999999997,63.7,Juba,57.6,1150.0,English,61.3,1.41,11062113,72.4,16.25,31.4,12.24,2201250,6.8769919,31.3069788
Spain,94,52.6,505370,196000.0,7.9,34,Madrid,244002,110.96,0.7,1.26,36.9,102.7,88.9,2.5,Madrid,83.3,4.0,Spanish,24.2,3.87,47076781,57.5,14.2,47.0,13.96,37927409,40.463667,-3.74922
Sri Lanka,341,43.7,65610,317000.0,15.83,94,Colombo,23362,155.53,3.5,2.2,32.9,100.2,19.6,6.4,Colombo,76.8,36.0,Tamil,38.4,1.0,21803000,53.9,11.9,55.2,4.2,4052088,7.873054,80.771797
Sudan,25,28.7,1861484,124000.0,32.18,249,Khartoum,20000,1344.19,51.0,4.41,8.1,76.8,16.9,42.1,Omdurman,65.1,295.0,Arabic,63.2,0.26,42813238,48.4,8.0,45.4,16.53,14957233,12.862807,30.217636
Suriname,4,0.6,163820,2000.0,18.54,597,Paramaribo,1738,294.66,22.0,2.42,98.3,108.8,12.6,16.9,Paramaribo,71.6,120.0,Dutch,10.1,1.21,581372,51.1,19.5,27.9,7.33,384258,3.919305,-56.027783
Sweden,25,7.4,450295,30000.0,11.4,46,Stockholm,43252,110.51,1.8,1.76,68.9,126.6,67.0,2.2,S�����,82.5,4.0,Swedish,15.2,3.98,10285453,64.6,27.9,49.1,6.48,9021165,60.128161,18.643501
Switzerland,219,38.4,41277,21000.0,10.0,41,Bern,34477,99.55,0.4,1.52,31.8,105.2,59.6,3.7,Z���,83.6,5.0,German,28.3,4.3,8574832,68.3,10.1,28.8,4.58,6332428,46.818188,8.227512
Syria,95,75.8,185180,239000.0,23.69,963,Damascus,28830,143.2,36.7,2.81,2.7,81.7,40.1,14.0,Damascus,71.8,31.0,Arabic,53.7,1.22,17070135,44.1,14.2,42.7,8.37,9358019,34.802075,38.996815
Tajikistan,68,34.1,144100,17000.0,30.76,992,Dushanbe,5310,148.57,6.0,3.59,3.0,100.9,31.3,30.4,Dushanbe,70.9,17.0,Persian,63.1,1.7,9321018,42.0,9.8,67.3,11.02,2545477,38.861034,71.276093
Tanzania,67,44.8,947300,28000.0,36.7,255,Dodoma,11973,187.43,3.5,4.89,51.6,94.2,4.0,37.6,Dar es Salaam,65.0,524.0,Swahili,26.1,0.01,58005463,83.4,11.5,43.8,1.98,20011885,-6.369028,34.888822
Thailand,137,43.3,513120,455000.0,10.34,66,Bangkok,283763,113.27,0.7,1.53,32.2,99.8,49.3,7.8,Bangkok,76.9,37.0,Thai,11.8,0.81,69625582,67.3,14.9,29.5,0.75,35294600,15.870032,100.992541
East Timor,89,25.6,14874,2000.0,29.42,670,Dili,495,145.38,2.6,4.02,45.4,115.3,17.8,39.3,Dili,69.3,142.0,Portuguese,10.2,0.72,3500000,67.3,25.0,17.3,4.55,400182,-8.874217,125.727539
Togo,152,70.2,56785,10000.0,33.11,228,Lom�,3000,113.3,0.7,4.32,3.1,123.8,14.5,47.4,Lom�,60.8,396.0,French,51.0,0.08,8082366,77.6,16.9,48.2,2.04,3414638,8.619543,0.824782
Tonga,147,45.8,747,31000.0,24.3,676,Nuku����,128,121.09,7.4,3.56,12.5,116.3,6.4,13.4,Nuku����,70.8,52.0,Tongan Language,10.2,0.52,100209,59.8,22.3,27.5,1.12,24145,-21.178986,-175.198242
Trinidad and Tobago,273,10.5,5128,4000.0,12.94,1,Port of Spain,43868,141.75,1.0,1.73,46.0,106.2,12.0,16.4,Chaguanas,73.4,67.0,English,37.3,4.17,1394973,60.0,19.5,40.5,2.69,741944,10.691803,-61.222503
Tunisia,76,64.8,163610,48000.0,17.56,216,Tunis,29937,155.33,6.7,2.2,6.8,115.4,31.7,14.6,Tunis,76.5,43.0,Arabic,39.8,1.3,11694719,46.1,21.1,60.7,16.02,8099061,33.886917,9.537499
Turkey,110,49.8,783562,512000.0,16.03,90,Ankara,372725,234.44,15.2,2.07,15.4,93.2,23.9,9.1,Istanbul,77.4,17.0,Turkish,16.9,1.85,83429615,52.8,17.9,42.3,13.49,63097818,38.963745,35.243322
Turkmenistan,13,72.0,488100,42000.0,23.83,993,Ashgabat,70630,125.34,2.3,2.79,8.8,88.4,8.0,39.3,Ashgabat,68.1,7.0,Turkmen,71.1,2.22,5942089,64.5,16.25,37.35,3.91,3092738,38.969719,59.556278
Uganda,229,71.9,241038,46000.0,38.14,256,Kampala,5680,173.87,2.9,4.96,9.7,102.7,4.8,33.8,Buganda,63.0,375.0,Swahili,40.5,0.17,44269594,70.3,11.7,33.7,1.84,10784516,1.373333,32.290275
Ukraine,75,71.7,603550,297000.0,8.7,380,Kyiv,202250,281.66,7.9,1.3,16.7,99.0,82.7,7.5,Kyiv,71.6,19.0,Ukrainian,47.8,2.99,44385155,54.2,20.1,45.2,8.88,30835699,48.379433,31.16558
United Arab Emirates,118,5.5,83600,63000.0,10.33,971,Abu Dhabi,206324,114.52,-1.9,1.41,4.6,108.4,36.8,6.5,Dubai,77.8,3.0,Arabic,17.8,2.53,9770529,82.1,0.1,15.9,2.35,8479744,23.424076,53.847818
United Kingdom,281,71.7,243610,148000.0,11.0,44,London,379025,119.62,1.7,1.68,13.1,101.2,60.0,3.6,London,81.3,7.0,English,14.8,2.81,66834405,62.8,25.5,30.6,3.85,55908316,55.378051,-3.435973
United States,36,44.4,9833517,1359000.0,11.6,1,"Washington, D.C.",5006302,117.24,7.5,1.73,33.9,101.8,88.2,5.6,New York City,78.5,19.0,English,11.1,2.61,328239523,62.0,9.6,36.6,14.7,270663028,37.09024,-95.712891
Uruguay,20,82.6,176215,22000.0,13.86,598,Montevideo,6766,202.92,7.9,1.97,10.7,108.5,63.1,6.4,Montevideo,77.8,17.0,Spanish,16.2,5.05,3461734,64.0,20.1,41.8,8.73,3303394,-32.522779,-55.765835
Uzbekistan,79,62.9,447400,68000.0,23.3,998,Tashkent,91811,125.34,2.3,2.42,7.5,104.2,10.1,19.1,Tashkent,71.6,29.0,Uzbek,42.7,2.37,33580650,65.1,14.8,31.6,5.92,16935729,41.377491,64.585262
Vanuatu,25,15.3,12189,31000.0,29.6,678,Port Vila,147,117.13,2.8,3.78,36.1,109.3,4.7,22.3,Port Vila,70.3,72.0,French,8.9,0.17,299882,69.9,17.8,8.5,4.39,76152,-15.376706,166.959158
Venezuela,32,24.5,912050,343000.0,17.88,58,Caracas,164175,2740.27,254.9,2.27,52.7,97.2,79.3,21.4,Caracas,72.1,125.0,Spanish,45.8,1.92,28515829,59.7,16.25,73.3,8.8,25162368,6.42375,-66.58973
Vietnam,314,39.3,331210,522000.0,16.75,84,Hanoi,192668,163.52,2.8,2.05,48.1,110.6,28.5,16.5,Ho Chi Minh City,75.3,43.0,Vietnamese,43.5,0.82,96462106,77.4,19.1,37.6,2.01,35332140,14.058324,108.277199
Yemen,56,44.6,527968,40000.0,30.45,967,Sanaa,10609,157.58,8.1,3.79,1.0,93.6,10.2,42.9,Sanaa,66.1,164.0,Arabic,81.0,0.31,29161922,38.0,16.25,26.6,12.91,10869523,15.552727,48.516388
Zambia,25,32.1,752618,16000.0,36.19,260,Lusaka,5141,212.31,9.2,4.63,65.2,98.7,4.1,40.4,Lusaka,63.5,213.0,English,27.5,1.19,17861030,74.6,16.2,15.6,11.43,7871713,-13.133897,27.849332
Zimbabwe,38,41.9,390757,51000.0,30.68,263,Harare,10983,105.51,0.9,3.62,35.5,109.9,10.0,33.9,Harare,61.2,458.0,Shona,25.8,0.21,14645468,83.1,20.7,31.6,4.95,4717305,-19.015438,29.154857
