country,density_per_km2,agricultural_land_percent,land_area_km2,armed_forces_size,birth_rate,calling_code,capital_major_city,co2_emissions,cpi,cpi_change_percent,fertility_rate,forested_area_percent,gross_primary_education_enrollment_percent,gross_tertiary_education_enrollment_percent,infant_mortality,largest_city,life_expectancy,maternal_mortality_ratio,official_language,out_of_pocket_health_expenditure,physicians_per_thousand,population,labor_force_participation_percent,tax_revenue_percent,total_tax_rate,unemployment_rate,urban_population,latitude,longitude
Georgia,57,34.5,69700,26000.0,13.47,995,Tbilisi,10128,133.61,4.9,2.06,40.6,98.6,63.9,8.7,Tbilisi,73.6,25.0,Georgian,57.3,7.12,3720382,68.3,21.7,9.9,14.4,2196476,42.315407,43.356892
Germany,240,47.7,357022,180000.0,9.5,49,Berlin,727973,112.85,1.4,1.56,32.7,104.0,70.2,3.1,Berlin,80.9,7.0,German,12.5,4.25,83132799,60.8,11.5,48.8,3.04,64324835,51.165691,10.451526
Ghana,137,69.0,238533,16000.0,29.41,233,Accra,16670,268.36,7.2,3.87,41.2,104.8,15.7,34.9,Accra,63.8,308.0,English,36.1,0.14,30792608,67.8,12.6,55.4,4.33,17249054,7.946527,-1.023194
Greece,81,47.6,131957,146000.0,8.1,30,Athens,62434,101.87,0.2,1.35,31.7,99.6,136.6,3.6,Macedonia,81.3,3.0,Greek,35.5,5.48,10716322,51.8,26.2,51.9,17.24,8507474,39.074208,21.824312
Grenada,331,23.5,349,31000.0,16.47,1,"St. George's, Grenada",268,107.43,0.8,2.06,50.0,106.9,104.6,13.7,"St. George's, Grenada",72.4,25.0,English,57.0,1.41,112003,62.6,19.4,47.8,5.36,40765,12.1165,-61.679
Guatemala,167,36.0,108889,43000.0,24.56,502,Guatemala City,16777,142.92,3.7,2.87,32.7,101.9,21.8,22.1,Guatemala City,74.1,95.0,Spanish,55.8,0.35,16604026,62.3,10.6,35.2,2.46,8540945,15.783471,-90.230759
Guinea,53,59.0,245857,13000.0,36.36,224,Conakry,2996,262.95,9.5,4.7,25.8,91.5,11.6,64.9,Kankan,61.2,576.0,French,54.5,0.08,12771246,61.5,10.8,69.3,4.3,4661505,9.945587,-9.696645
Guinea-Bissau,70,58.0,36125,4000.0,35.13,245,Bissau,293,111.65,1.4,4.48,69.8,118.7,2.6,54.0,Bissau,58.0,667.0,Portuguese,37.2,0.13,1920922,72.0,10.3,45.5,2.47,840922,11.803749,-15.180413
Guyana,4,8.6,214969,3000.0,19.97,592,"Georgetown, Guyana",2384,116.19,2.1,2.46,83.9,97.8,11.6,25.1,"Georgetown, Guyana",69.8,169.0,English,40.5,0.8,782766,56.2,16.25,30.6,11.85,208912,4.860416,-58.93018
Haiti,414,66.8,27750,0.0,24.35,509,Port-au-Prince,2978,179.29,12.5,2.94,3.5,113.6,1.1,49.5,Port-au-Prince,63.7,480.0,French,36.3,0.23,11263077,67.2,16.25,42.7,13.78,6328948,18.971187,-72.285215
Honduras,89,28.9,112090,23000.0,21.6,504,Tegucigalpa,9813,150.34,4.4,2.46,40.0,91.5,26.2,15.1,Tegucigalpa,75.1,65.0,Spanish,49.1,0.31,9746117,68.8,17.3,39.1,5.39,5626433,15.199999,-86.241905
Hungary,107,58.4,93028,40000.0,9.6,36,Budapest,45537,121.64,3.3,1.54,22.9,100.8,48.5,3.6,Budapest,75.8,12.0,Hungarian,29.0,3.41,9769949,56.5,23.0,37.9,3.4,6999582,47.162494,19.503304
Iceland,3,18.7,103000,0.0,12.0,354,Reykjav��,2065,129.0,3.0,1.71,0.5,100.4,71.8,1.5,Reykjav��,82.7,4.0,Icelandic,17.0,4.08,361313,75.0,23.3,31.9,2.84,339110,64.963051,-19.020835
India,464,60.4,3287263,3031000.0,17.86,91,New Delhi,2407672,180.44,7.7,2.22,23.8,113.0,28.1,29.9,Kurebhar,69.4,145.0,Hindi,65.1,0.86,1366417754,49.3,11.2,49.7,5.36,471031528,20.593684,78.96288
Indonesia,151,31.5,1904569,676000.0,18.07,62,Jakarta,563325,151.18,3.0,2.31,49.9,106.4,36.3,21.1,Kalimantan,71.5,177.0,Indonesian,48.3,0.43,270203917,67.5,10.2,30.1,4.69,151509724,-0.789275,113.921327
Iran,52,28.2,1648195,563000.0,18.78,98,Tehran,661710,550.93,39.9,2.14,6.6,110.7,68.1,12.4,Tehran,76.5,16.0,Persian,39.7,1.58,82913906,44.7,7.4,44.7,11.38,62509623,32.427908,53.688046
Iraq,93,21.4,438317,209000.0,29.08,964,Baghdad,190061,119.86,0.4,3.67,1.9,108.7,16.2,22.5,Baghdad,70.5,79.0,Arabic,76.5,0.71,39309783,43.0,2.0,30.8,12.82,27783368,33.223191,43.679291
Republic of Ireland,72,64.5,70273,9000.0,12.5,353,Dublin,37711,106.58,0.9,1.75,11.0,100.9,77.8,3.1,Connacht,82.3,5.0,Irish,15.2,3.31,5007069,62.1,18.3,26.1,4.93,3133123,53.41291,-8.24389
Israel,400,24.6,20770,178000.0,20.8,972,Jerusalem,65166,108.15,0.8,3.09,7.7,104.9,63.4,3.0,Jerusalem,82.8,3.0,Hebrew,24.4,4.62,9053300,64.0,23.1,25.3,3.86,8374393,31.046051,34.851612
Italy,206,43.2,301340,347000.0,7.3,39,Rome,320411,110.62,0.6,1.29,31.8,101.9,61.9,2.6,Rome,82.9,2.0,Italian,22.8,3.98,60297396,49.6,24.3,59.1,9.89,42651966,41.87194,12.56738
Jamaica,273,41.0,10991,4000.0,16.1,1876,"Kingston, Jamaica",8225,162.47,3.9,1.98,30.9,91.0,27.1,12.4,"Kingston, Jamaica",74.4,80.0,Jamaican English,23.7,1.31,2948279,66.0,26.8,35.1,8.0,1650594,18.109581,-77.297508
Japan,347,12.3,377944,261000.0,7.4,81,Tokyo,1135886,105.48,0.5,1.42,68.5,98.8,63.2,1.8,Tokyo,84.2,5.0,English,13.1,2.41,126226568,61.7,11.9,46.7,2.29,115782416,36.204824,138.252924
Jordan,115,12.0,89342,116000.0,21.98,962,Amman,25108,125.6,0.8,2.76,1.1,81.5,34.4,13.9,Amman,74.4,46.0,Arabic,25.1,2.32,10101694,39.3,15.1,28.6,14.72,9213048,30.585164,36.238414
Kazakhstan,7,80.4,2724900,71000.0,21.77,7,Astana,247207,182.75,5.2,2.84,1.2,104.4,61.7,8.8,Almaty,73.2,10.0,Russian,38.8,3.25,18513930,68.8,11.7,28.4,4.59,10652915,48.019573,66.923684
Kenya,94,48.5,580367,29000.0,28.75,254,Nairobi,17910,180.51,4.7,3.49,7.8,103.2,11.5,30.6,Nairobi,66.3,342.0,Swahili,33.4,0.16,52573973,74.7,15.1,37.2,2.64,14461523,-0.023559,37.906193
Kiribati,147,42.0,811,31000.0,27.89,686,South Tarawa,66,99.55,0.6,3.57,15.0,101.3,30.299999999999997,41.2,South Tarawa,68.1,92.0,English,0.2,0.2,117606,62.6,22.0,32.7,5.36,64489,1.8368976,-157.3768317
Kuwait,240,8.4,17818,25000.0,13.94,965,Kuwait City,98734,126.6,1.1,2.08,0.4,92.4,54.4,6.7,Kuwait City,75.4,12.0,Modern Standard Arabic,14.4,2.58,4207083,73.5,1.4,13.0,2.18,4207083,29.31166,47.481766
Kyrgyzstan,34,55.0,199951,21000.0,27.1,996,Bishkek,9787,155.68,1.1,3.3,3.3,107.6,41.3,16.9,Bishkek,71.4,60.0,Russian,48.2,1.88,6456900,59.8,18.0,29.0,6.33,2362644,41.20438,74.766098
Laos,32,10.3,236800,129000.0,23.55,856,Vientiane,17763,135.87,3.3,2.67,82.1,102.4,15.0,37.6,Vientiane,67.6,185.0,Lao,45.4,0.37,7169455,78.5,12.9,24.1,0.63,2555552,19.85627,102.495496
Latvia,30,31.1,64589,6000.0,10.0,371,Riga,7004,116.86,2.8,1.6,54.0,99.4,88.1,3.3,Riga,74.7,19.0,Latvian,41.6,3.19,1912789,61.4,22.9,38.1,6.52,1304943,56.879635,24.603189
Lebanon,667,64.3,10400,80000.0,17.55,961,Beirut,24796,130.02,3.0,2.09,13.4,95.1,26.3,6.4,"Tripoli, Lebanon",78.9,29.0,Arabic,32.1,2.1,6855713,47.0,15.3,32.2,6.23,6084994,33.854721,35.862285
Lesotho,71,77.6,30355,2000.0,26.81,266,Maseru,2512,155.86,5.2,3.14,1.6,120.9,10.2,65.7,Maseru,53.7,544.0,English,16.9,0.07,2125268,67.9,31.6,13.6,23.41,607508,-29.609988,28.233608
Liberia,53,28.0,111369,2000.0,33.04,231,Monrovia,1386,223.13,23.6,4.32,43.1,85.1,11.9,53.5,Monrovia,63.7,661.0,English,19.6,0.04,4937374,76.3,12.9,46.2,2.81,2548426,6.428055,-9.429499
Libya,4,8.7,1759540,0.0,18.83,218,Tripoli,50564,125.71,2.6,2.24,0.1,109.0,60.5,10.2,Tripoli,72.7,72.0,Arabic,36.7,2.09,6777452,49.7,16.25,32.6,18.56,5448597,26.3351,17.228331
Lithuania,43,47.2,65300,34000.0,10.0,370,Vilnius,12963,118.38,2.3,1.63,34.8,103.9,72.4,3.3,Vilnius,75.7,8.0,Lithuanian,32.1,6.35,2786844,61.6,16.9,42.6,6.35,1891013,55.169438,23.881275
Luxembourg,242,53.7,2586,2000.0,10.3,352,Luxembourg City,8988,115.09,1.7,1.37,35.7,102.3,19.2,1.9,Luxembourg City,82.1,5.0,Luxembourgish,10.6,3.01,645397,59.3,26.5,20.4,5.36,565488,49.815273,6.129583
Madagascar,48,71.2,587041,22000.0,32.66,261,Antananarivo,3905,184.33,5.6,4.08,21.4,142.5,5.4,38.2,Antananarivo,66.7,335.0,French,21.7,0.18,26969307,86.1,10.2,38.3,1.76,10210849,-18.766947,46.869107
Malawi,203,61.4,118484,15000.0,34.12,265,Lilongwe,1298,418.34,9.4,4.21,33.2,142.5,0.8,35.3,Lilongwe,63.8,349.0,English,11.0,0.04,18628747,76.7,17.3,34.5,5.65,3199301,-13.254308,34.301525
Malaysia,99,26.3,329847,136000.0,16.75,60,Kuala Lumpur,248289,121.46,0.7,2.0,67.6,105.3,45.1,6.7,Johor Bahru,76.0,29.0,Malaysian language,36.7,1.51,32447385,64.3,12.0,38.7,3.32,24475766,4.210484,101.975766
Maldives,1802,26.3,298,5000.0,14.2,960,Mal�,1445,99.7,0.2,1.87,3.3,97.1,31.2,7.4,Mal�,78.6,53.0,Divehi,16.4,4.56,530953,69.8,19.5,30.2,6.14,213645,3.202778,73.22068
Mali,17,33.8,1240192,18000.0,41.54,223,Bamako,3179,108.73,-1.7,5.88,3.8,75.6,4.5,62.0,Bamako,58.9,562.0,French,46.3,0.13,19658031,70.8,11.6,54.5,7.22,8479688,17.570692,-3.996166
Malta,1380,32.4,316,2000.0,9.2,356,Valletta,1342,113.45,1.6,1.23,1.1,105.0,54.3,6.1,Birkirkara,82.3,6.0,Maltese,37.1,2.86,502653,56.5,26.2,44.0,3.47,475902,35.937496,14.375416
Marshall Islands,329,63.9,181,31000.0,29.03,692,Majuro,143,125.34,2.3,4.05,70.2,84.7,23.7,27.4,Majuro,65.2,53.0,Marshallese,10.0,0.42,58791,62.6,17.8,65.9,5.36,45514,7.131474,171.184478
Mauritania,5,38.5,1030700,21000.0,33.69,222,Nouakchott,2739,135.02,2.3,4.56,0.2,99.9,5.0,51.5,Nouakchott,64.7,766.0,Arabic,48.2,0.19,4525696,45.9,16.25,67.0,9.55,2466821,21.00789,-10.940835
Mauritius,626,42.4,2040,3000.0,10.2,230,Port Louis,4349,129.91,0.4,1.41,19.0,101.1,40.6,13.6,Port Louis,74.4,61.0,French,50.7,2.53,1265711,58.3,19.1,22.2,6.67,515980,-20.348404,57.552152
Mexico,66,54.6,1964375,336000.0,17.6,52,Mexico City,486406,141.54,3.6,2.13,33.9,105.8,40.2,11.0,Mexico City,75.0,33.0,English,41.4,2.38,126014024,60.7,13.1,55.1,3.42,102626859,23.634501,-102.552784
Federated States of Micronesia,784,31.4,702,31000.0,22.82,691,Palikir,143,112.1,0.5,3.05,91.9,97.2,14.1,25.6,Palikir,67.8,88.0,English,2.5,0.18,113815,62.6,25.2,60.5,5.36,25963,7.425554,150.550812
Moldova,123,74.2,33851,7000.0,10.1,373,Chi����,5115,166.2,4.8,1.26,12.6,90.6,39.8,13.6,Chi����,71.8,19.0,Romanian,46.2,3.21,2657637,43.1,17.7,38.7,5.47,1135502,47.411631,28.369885
Mongolia,2,71.5,1564116,18000.0,24.13,976,Ulaanbaatar,25368,195.76,7.3,2.9,8.0,104.0,65.6,14.0,Ulaanbaatar,69.7,45.0,Mongolian,39.3,2.86,3225167,59.7,16.8,25.7,6.01,2210626,46.862496,103.846656
Montenegro,47,19.0,13812,12000.0,11.73,382,Podgorica,2017,116.32,2.6,1.75,61.5,100.0,56.1,2.3,Podgorica,76.8,6.0,Montenegrin language,31.8,2.76,622137,54.4,16.25,22.2,14.88,417765,42.708678,19.37439
Morocco,83,68.5,446550,246000.0,18.94,212,Rabat,61276,111.07,0.2,2.42,12.6,113.9,35.9,19.2,Casablanca,76.5,70.0,Arabic,53.1,0.73,36910560,45.3,21.9,45.8,9.02,22975026,31.791702,-7.09262
Mozambique,40,63.5,799380,11000.0,37.52,258,Maputo,7943,182.31,2.8,4.85,48.0,112.6,7.3,54.0,Maputo,60.2,289.0,Portuguese,6.8,0.08,30366036,78.1,0.0,36.1,3.24,11092106,-18.665695,35.529562
Myanmar,83,19.5,676578,513000.0,17.55,95,Naypyidaw,25280,168.18,8.8,2.15,43.6,112.3,18.8,36.8,Yangon,66.9,250.0,Burmese,73.9,0.68,54045420,61.7,5.4,31.2,1.58,16674093,21.916221,95.955974
Namibia,3,47.1,824292,16000.0,28.64,264,Windhoek,4228,157.97,3.7,3.4,8.3,124.2,22.9,29.0,Windhoek,63.4,195.0,English,8.3,0.42,2494530,59.5,27.1,20.7,20.27,1273258,-22.95764,18.49041
Nepal,203,28.7,147181,112000.0,19.89,977,Kathmandu,9105,188.73,5.6,1.92,25.4,142.1,12.4,26.7,Kathmandu,70.5,186.0,Nepali,60.4,0.75,28608710,83.8,20.7,41.8,1.41,5765513,28.394857,84.124008
Netherlands,508,53.3,41543,41000.0,9.7,31,Amsterdam,170780,115.91,2.6,1.59,11.2,104.2,85.0,3.3,Amsterdam,81.8,5.0,Dutch,12.3,3.61,17332850,63.6,23.0,41.2,3.2,15924729,52.132633,5.291266
New Zealand,18,40.5,268838,9000.0,11.98,64,Wellington,34382,114.24,1.6,1.71,38.6,100.0,82.0,4.7,Auckland,81.9,9.0,English,12.6,3.59,4841000,69.9,29.0,34.6,4.07,4258860,-40.900557,174.885971
Nicaragua,55,42.1,130370,12000.0,20.64,505,Managua,5592,162.74,5.4,2.4,25.9,120.6,17.4,15.7,Managua,74.3,98.0,Spanish,36.0,0.98,6545502,66.4,15.6,60.6,6.84,3846137,12.865416,-85.207229
Niger,19,36.1,1267000,10000.0,46.08,227,Niamey,2017,109.32,-2.5,6.91,0.9,74.7,4.4,48.0,Niamey,62.0,509.0,French,52.3,0.04,23310715,72.0,11.8,47.2,0.47,3850231,17.607789,8.081666
Nigeria,226,77.7,923768,215000.0,37.91,234,Abuja,120369,267.51,11.4,5.39,7.2,84.7,10.2,75.7,Lagos,54.3,917.0,English,72.2,0.38,200963599,52.9,1.5,34.8,8.1,102806948,9.081999,8.675277
North Korea,214,21.8,120538,1469000.0,13.89,850,Pyongyang,28284,125.34,2.3,1.9,40.7,112.8,27.0,13.7,Pyongyang,72.1,89.0,Korean,31.8,3.67,25666161,80.4,16.25,37.35,2.74,15947412,40.339852,127.510093
Norway,15,2.7,323802,23000.0,10.4,47,Oslo,41023,120.27,2.2,1.56,33.2,100.3,82.0,2.1,Oslo,82.8,2.0,Norwegian,14.3,2.92,5347896,63.8,23.9,36.2,3.35,4418218,60.472024,8.468946
Oman,16,4.6,309500,47000.0,19.19,968,Muscat,63457,113.53,0.1,2.89,0.0,103.4,38.0,9.8,Seeb,77.6,19.0,Arabic,6.4,2.0,5266535,72.4,2.5,27.4,2.67,4250777,21.4735329,55.975413
Pakistan,287,47.8,796095,936000.0,28.25,92,Islamabad,201150,182.32,10.6,3.51,1.9,94.3,9.0,57.2,Karachi,67.1,140.0,Urdu,66.5,0.98,216565318,52.6,9.2,33.9,4.45,79927762,30.375321,69.345116
Palau,39,10.9,459,31000.0,14.0,680,Ngerulmud,224,118.17,1.3,2.21,87.6,112.6,54.7,16.6,Koror,69.1,53.0,English,21.8,1.18,18233,62.6,21.3,76.6,5.36,14491,7.51498,134.58252
Panama,58,30.4,75420,26000.0,18.98,507,Panama City,10715,122.07,-0.4,2.46,61.9,94.4,47.8,13.1,Panama City,78.3,52.0,Spanish,30.5,1.57,4246439,66.6,16.25,37.2,3.9,2890084,8.537981,-80.782127
Papua New Guinea,20,2.6,462840,4000.0,27.07,675,Port Moresby,7536,155.99,3.6,3.56,74.1,108.5,1.8,38.0,Port Moresby,64.3,145.0,Tok Pisin,5.8,0.07,8776109,47.2,13.6,37.1,2.46,1162834,-6.314993,143.95555
Paraguay,18,55.1,406752,27000.0,20.57,595,Asunci��,7407,143.82,2.8,2.43,37.7,104.4,34.6,17.2,Ciudad del Este,74.1,129.0,Spanish,36.5,1.35,7044636,72.1,10.0,35.0,4.81,4359150,-23.442503,-58.443832
Peru,26,18.5,1285216,158000.0,17.95,51,Lima,57414,129.78,2.1,2.25,57.7,106.9,70.7,11.1,Lima,76.5,88.0,Spanish,30.9,1.27,32510453,77.6,14.3,36.8,3.31,25390339,-9.189967,-75.015152
Philippines,368,41.7,300000,153000.0,20.55,63,Manila,122287,129.61,2.5,2.58,27.8,107.5,35.5,22.5,Manila,71.1,121.0,English,53.5,0.6,108116615,59.6,14.0,43.1,2.15,50975903,12.879721,121.774017
